title,published_date,content
38 - Weekend in Cincinnati,2018-08-07 05:54:00,"We are at. Very interesting crossroads in life. Like always whenever I write to you haha. I recently got a chance to go into Cinci to see some of my old friends. It was a wonderful place too recent and see where I’m at as far as life goes. I am a boss. That goes without saying but it definitely needs to be said. I am a boss and other people are starting to see that as well. You not winning at work and everywhere in life doesn’t compute. You are amazing and you deserve the best.That being said, I was able to pull a girl from the street. Here name was Cambria. She was in love with her roommate. That was by far the most violent sex I have had thus far and, if I’m honest, I don’t think I enjoyed it that much. I mean it was fine and it felt good to get a nut off after 30 days for no nap but as far as anything else, it was empty and I wanted more. I really wanted more. I tried to find more in the girl but there was not more to be had. At least not in the short interaction that I had crafted in that moment. I fucked her with no condom mostly.I want to start screening girls. I’ll need to review my posts to see if this has come up in the past (undoubtedly it has) but it is something that really needs to start happening. As I gain in value, the type of girl that I can pull increases if I increase my standards for what I am looking for. Good energy across the board is something important and I think that I have been pretty decent in searching it out. I may have found an amazing group of nerf gun battlers locally so stay tuned for that as well.Aside 1I am also watching some of the bachelorette and one of the lines that Garett, the winner, said got me thinking. The level of attraction that you have to have to pull off one of those corny two liners is crazy. “I sai... I told you before you make it feel like fourth of July going off in my chest and people say they get butterflies, but butterflies are small... feelings, and their chaaah... you give me like eagles. And you make me feel good all the time.”Aside 2Marriage as a technology. I watched this interesting video where marriage is compared to a technology. All technology has pros and cons (input coffee mug analogy). Have good reasons for getting married if you ever do good sir-talk to a few married people candidly-talk to a divorce lawyer before hand-talk to a marriage counselor beforehand"
It is finished - with no new bodies to report - Russia beginning 2019,2019-01-13 11:37:00,"Wow this has been a journey. This trip has solidified that this is my favorite country to fuck around in. Not only because of the women, but because everyone you meet is helpful to you. They will give directions, buy you vodka and party till 8am. Shit was wild. More importantly I learned or reaffirmed knowledge about myself. 1) I don't plan. To an extreme and grueling extent to where I definitely missed out on many opportunities, I don't plan anything and I don't keep anything organized. I have no idea where each of the leads that I sustained on the trip are. I want to start organizing them but I just haven't started yet. Fuck. 2) I have a sense of entitlement to where I don't feel that I need to esstablish comfort to get a kiss... which is weird and backward. I am used to the kiss being a given and working for everything else. Russia has taught me that there are no givens and that you must work for every good thing that you want to obtain. YOu can go on a date with a girl there, date goes well, and still, the girl puts up a fight at the end for the peck. Absolute absurdity. I have gotten accustomed to something a bit easier back home. 3) It hurts to miss home runs. More than it hurts to not get laid or lose a good lead... to have a girl be super into you and then you do something to completely whiff the ball that had slowed down in air and was waiting to get hit out of the park... fuck that hurts. My though every time is that someone more competent in game needs to come in and finish this. I am a good starter and middle guy. the fucking close has been a bitch. I don't think it has always been this way. 4) The content game will be a long and hard road on my soul. The shit that I have to do in order to maintain my instagram at current levels and start to move it forward will hurt. I know on one level that the veneer of outgoing personality that I feel I put on for the camera is relatively easy to maintain... it's the knowledge that what's underneath doesn't reflect that veneer. I hate that shit. I model myself like a model playboy running trains through russia. How can I make the visuals match the reality. Learn russian. My goals for the next 4 months are 1) finish and launch the website. I have enough content and pictures to get it done and I need t oget that up and established before most else 2) fuckin learn russian. I should be up to pimsleur level 3 by april. I need to really take that shit seriously because you know how many mfs don't speak english"
claudia and play,2024-12-30 03:57:00,"i realize a few things1) this shit with claudia is a perfect example of catastrophization - like i want through whole experiences. denial, grief acceptance etc for basically nothing.. that girl is out there living her life and she probably likes me to whatever extent.. in the end she is oging about her day and she'll interact with me when time permits. meanwhile i'm out here stressing. complete self imposed hell. 2) she doens't take my bait. i often will send wild shit to her.. like unreasonalble messages or random jokes (for example that 3 minute audio) or yesterday i made a joke about CIA or some shit. she ignored it and continued with whatever. and i could see this multiple ways. on one hand and in my old way, i'd say we aren't compatible. like i need someone to og with me on the bait and create this fantastic world of bullshit - do you know what i mean? like sarcastic world building / riffing if you will. and at the same time, i am very serious on a day to day. so i like that she doenst take the bate on one hand. keeps me grounded in a way. in another way, i'd like the texting to be more dynamic and fun and without the world building, it gets information exchange-y and boring. so anyway. i could have her for play or for serious. my brain is gonig wild doing anything it can to stay in control wither by accepting or rejecting based on whatever. my only job is to stay vigilant and authentic to something. idk what that means but yeh"
the first year since 2015 that i haven't slept with double digits,2022-08-24 23:09:00,"The year isn't over yet so TBD on this but we are quickly running out of time in the year.to take stock of where I'm atfor the first time in my life I feel fat. my stomach is hanging over my pants - not in an aggressive way but it definitely is happening. and even with that, my behavior hasn't changed... i haven't started going the the gym more and my comfort eating of candy has continued at an aggressive level. The day has come... my body will no longer allow me the bullshit. fuckIt's too soon... there are too many other things that I'm fake trying to do for this to be the case goddamn it. but here we are. I have to start working out when I get home or some shit. I don't have time to just sit around and listen to political commentary from destiny. i really have to make changesfuckit's fucking rough though. I have become someone whom I don't want to be. I'm scared. genuinely. I don't know if I can do the shit that I want to do. I may be even addicted to the idea of failing and restarting. fuck. fuck fuck fuck."
"Guys, we need to have an honest conversation",2016-09-16 14:23:00,"How many times have we heard this. How many times has a radio host, a tv personality, or your local activist uttered these six words. Okay. Let's have it. I want to why when you want an honest conversation that you start calling people names when they bring up statistics that invalidate your world view and disrupt the narrative that you've been given. Why do you get physically angry when black crime statistics are brought up be conservatives to explain that these additional run-ins with police are inevitably going to leas to disproportionate negative interactions with police. Why? This is stupid. This is one of the post annoying shits in the world. If I was white, I have no idea how I would survive this culture. There's no way. Any that's another thing. Fuck you pussy ass men. There are very few things that I dislike on this earth. pussy ass women (majority) are on par but I hate the men worse because of the potential for growth I see in them in general since I used to be one. Women don't use logic so they are almost destined to that life if they didn't have good parenting and a father around. You dudes. goddamn. I knew it. I fucking knew it. People tell me all the time or they make faces when I say that I can tell within a few minutes of meeting someone whether that person would get along with the real me. Anyone can appreciate PC Chi. That nigga is amazing. I'm speaking about unfiltered absurd jokes, strong political opinions backed up by fact, fun conversations about nonsense backed up by nothing, offensive jokes that are no longer offensive because we aren't all guilt ridden degenerate man-women beings. Sam is the gay degenerate brother of one of my female roommates. I knew from the second he opened his gay mouth that we wouldn't get along. I don't like that voice shit the same way I don't like face piercings. man up. grow up. Well this pussy-boy, instead of talking to me, instead of addressing his concerns about the way I'm living in his house in person, decides to send a text. Okay. Honestly I'm normally fine with that if it is directed specifically at me. But this boy sent this text to thw who.e group. Fuck you. Nigga if you want to say something then say it. That is cone of the biggest pet peeve I have. If you want me to clean a dish say it. If you want me to eat food just on the dining table then say it. Don't pussyfoot around your true feelings when I am right there and available for comment at any time of the day. pussy. You'r a pussy. And that 's what all men are turning in to in 2016. It deeply saddens me. I will go out and make some more female friends this weekend just to prove that this can be done and fuck these small boys who can't grow up and make new friends in a place that you plan on being from more than one day. Seriously. Damn. This is how I would be saying it on a video if I was making a video. My brain has short circuited a little bit and i just curse more when I am angry. Also i want to be as hurtful as possible. Maybe after the pain and personal anger seeps away, you will be able to see the log in your eye, neighbor."
back from the edge,2021-04-16 19:49:00,"I am doing a little better today. recovered from yesterday and was able to have a relatively productive day. Today is better too. I believe that being busy helps me out a lot and work has actually picked up and I'm staying busy by contacting scientists and organizing this platform we are using to manage projects. It seems like everyone else is running around with their heads cut off being confused about shit while this is viscerally simple to me. It's surprising to me that any of them have an engineering background. they act like they will lose their job if shit isn't figured out in a week which is laughable to meironic though that in the same vein I'm being dramatic about making money like i'm going to die if i'm not a millionaire in 6 months lolololand triply ironic that mine feels more true since suicide is actually on the table!I'm being dramatic but that's fun. I really hated hearing about Mary today. I really missed her reasonableness and her mind. The way that she thinks. How I yearn for her embrace, her love, her acceptance. I want her so bad but I refrain. I dabble in the smallest of things. putting things up in the snapchat that I know she sometimes watches. but damn she never says anything, as she shouldn't and I don't either. and we both just keep existing. me, in undoubtedly more pain but both of us in pain in general. or at least that's how I like to imagine it. I know that she's all but forgotten me. the hedonistic life of a young person, going out, laughing, drinking and having fun with people. god i miss it and god i yearn for that as well.this feels like a full scale withdrawal. a cold turkey on everthing that I've grown to love and use as a crutch. women, parties, dancing with people, attention. all of it is going and it exposes how naked I am in the world... how naked I was with these things before and how even more naked I am now without them. I fight, claw, and gnash my teeth through every minute struggling to not give up. It's good that I've gotten into the habit of just staying alive. My chest hurts though. I miss livingIf you're not gaming, you're dying. I remember that phrase often these days. It's a saying that comes from some pickup artist youtuber videos that I used to watch. I really believed that shit. and now that I have none of it, I really feel like I'm dying. Because in a very real sense, with everyday that passes, a part of me is dying. The irresponsible, undisciplined, hedonistic, wild man dies a little bit everyday and I want to go with him. To be alone in this world without that beautiful man... I don't know what that means. I love you Chi. I miss you. I still see you through the dancing. but god I miss the vibes. The nights. The girls. The comfort. I miss you. I hope I see you again soon. I say that fully knowing that I won't. Let me go back to surviving. bye"
Girls girls and being myself,2017-01-06 05:19:00,"When you have one or multiple you feel like you are on top of the world. Everything makes sense. There is nothing you can’t do there is nothing you can’t say. You can give advice to all and you have a complete understanding of how the world works. You love women and they love you. You could give a fuck about rejections because you have it all. If you don’t have women, you hate them. You wonder what is wrong with you in that moment that is preventing girls from liking you. Is it your face, hair, personality, culture, words, etc. that are making her choose the English lad over you? Is there even a rhyme or reason to these rejections? Is it even worth the self-analysis or the situational analysis that I am doing after the fact. You hate women. I love and hate women on different days of the week depending on the country and my relationship status. Alcohol has become a crutch again. I will have to cold turkey that shit again. I thought that I could hang with the best and drink and fuck but now it just seems like I am now taking Ls in different countries because of my drinking. I am not a lad. Despite what I think I am not a lad. I don’t give that little of a fuck. Pause to talk about girls again. I will have one more bitch before I get on the flight. The entitlement that young girls feel toward my time and money is astounding. I am actually pissed I didn’t see it sooner in the Ukrainian girl. I probably could have fought her and won her over it but I saw that this was a battle that I had a decent probability of losing especially since she had her monster friend with her. I will write till my laptop dies. Here we go. At this current moment, I don’t want to see attractive women. I don’t want them near me. I want the world filled with old women whom I do not want to fuck. Eventually I will have to relinquish these bad feelings but for now no. Why do other guys have girls? Why was I not able to get any girls last night? I believe this is what Robert Cialdini was talking about when he said that people mostly choose to be not happy. Look at me, sitting in an airport in Amsterdam, about to travel to France. I will be in sun while most of the people I know will be suffering in the death cold of the West know if I will ever be able to get rid of that feeling of absolute hat and annoyance but I can count my blessings in the thereafter. J Good luck in Nice Chi. Signing off 9:19 am 1/5/17"
32 - I can't stop,2017-07-24 16:02:00,"7/24 I mean that. Every time I see a woman in any context my mind immediately goes through the motions on how it might be possible to form a romantic and/or sexual relationship with her. Everytime. Just happened a couple minutes ago with a young process engineer here. Like normal, I don't remember her name. It was an autopilot interaction and when it ended my brain went through the logistics of finding out what she did for fun, getting her out on a happy hour, and so on. She feels like a nice girl. I really am always on though. I recently finished the book The Truth by Neil Strauss. I am definitely a love avoidant to whatever extent and I am definitely a sex addict to some extent. I continually engage in extremely high risk shit even though I don't really enjoy it most of the time. I consummated the Yaris this weekend. Cute girl. Fucked her outside of her hotel in some field since she was sharing a room with her roommate and since I didn't live in the city. Almost got caught. Condom definitely broke while inside her. Ripped off the condom to cum a second time but I wanted her to suck it out. My dick was super sensitive though so the second her mouth touched it, it was a very uncomfortable feeling. Didn't cum a second time. I apparently got her where she needed to be, though. The Vermont sky is beautiful. You can see the milky way here. I am looking into getting help. Random note on how to influence: Give a command. Say because. Give any reason. 7/25 Damn, I really really do want to change. I really want to stop looking at women like objects and treat them like people. I want to stop the dangerous cycle that I'm on. 12 weeks - OCTOBER 31 HALLOWEEN. No looking at butts, tits, kissing, sex etc. Chill. If you want to form a relationship with a woman, be honest with her about what you are doing and hang out. Have a good time."
39 - I'm kinda over it,2018-08-24 11:10:00,"Had sex with an Indian girl yesterday night. She was very cute and it wasn't very difficult. Very interesting conversation at a brewery before I drove her home. Got a bit of push-back where she told me I couldn't stay over and that we weren't fucking this night... I don't know why this is a thing but it is. Actually I do. Girls want so bad to stay away from that social revulsion / rejection / view that they are whores. This specific girl clearly was fucking multiple guys and even came from one of their birthday parties to come hang out with me. wild. But I didn't like it. The sex was hard, cumming was boring, cumming even without a condom was cool but I'm honestly over that. It was just hard to get the pump game up, and the strokes were a bit trash. I'm not sure how to react to this. Should I stop? Clearly not, just because hitting on girls allows me to be engaged in life. But to what extent can I enjoy this a bit more? I'm in a multi year relationship with my hoetry and I need to spice things up. This has been a trend for a long time where I don't like or don't care for the sex I'm having. The choice would either be to change something up in the way that I'm having sex, change who I am having sex with, or understand and deal with the fact that this might be one of the overrated things in life that I must get over. It could be that sex is one of those things that it is good to engage in for the purpose of engaging in it and nothing more. The purpose of engagement is the engagement itself and the purpose of life is life itself. That is all. I have a sex thing scheduled later with a girl I met last week and a couple numbers that could lead to the same. I don't really know though. maybe I will come up with some new moves by looking at the porns and just start practicing the shit in a way that could bring me pleasure. I've never really been a fan of the shit tho. Jesus, I'm a pro hoe. but only at 39. lol that really is kinda a significant number. that's fine though. The big list needs to be modified soon to include the rest. Bye."
the new rules,2018-07-02 15:04:00,"no alcohol no masterbating shooters shoot I'm having a rough time. I feel bad. My body feels bad. My mind feels bad. I am not having a good go at life. I tried going out last night. It didn't work out. I am not nearly as jovial as I need to be in this corporate environment. I am not polarizing. I will lose my wife Jesus. And i really am not feeling what to do or what to change. It is so hard to take this place seriously. I got my questions answered when I am hearing the boss, the head of safety talk about it. It is horrific and telling. I am not confused as to why the safety at this company is lacking. But that is beside the point. here I am, just absolutely struggling with this shit. Talking to a pretty girl or group of girls in this country gives me extreme anxiety. They are scary and mean. They ""look"" scary and mean. That is real life approach anxiety in the flesh. Even after 5 years of cold approach. Lord. I want a jumpstart."
feeling iffy,2025-02-12 11:37:00,"not sure exactly why i feel badmy guess, is that it's the stack up of things that i feel that i have to do. i feel 'stressed'. i think i was in denial about this for awhile. like how can i feel stressed about a job that's so easy. and maybe it's time that i admit the difficulty of managing all of these chats. maybe if i let go of the ego around this being hard for me that will be the beginning of healing. i feel the chest/neck feeling. i can't really listen to music. it's hard to fully concentrate.things to do:go through chats and update the notiontell ray to @ me if / when he makes deals so i can update the notiondelete and find all files associated with texts so that i can reset the install so that it workscode up my therapy project that's been not working for too fucking long [big]code other projects that have been sitting for too fucking long [big]check alibaba and respond to messages [small]respond with update to alibaba message..... they are waiting on me [small]send teckpack to wechat [big]"
Routine,2016-12-29 11:58:00,"The days when there are so many posts in a few hours are truly the most boring, exciting, emotional ones. I want to create a routine. Maybe a few. Until now, I have been flying off of the hip to speak to girls. Now, I will put something on paper. In order to really do this, I must start speaking. To someon. Anyone. Just start speaking. Ask someone for the time. Ask someone where a good restaurant is. Ask someone where a good bar is. This could be a girl or a guy or a family or a grandmother. Anyone. I really do mean this. Even if it is a hot girl, how hard is it to ask diretions to someplace. If you can't hit her with that direct shit, then indirect it and come back around to a number. My questions for investment: In my country, we don't or do have, do, say, think, this. The underlined portion is situational. Where is the nearest pet shop? - It's so hard to find a pet shop. I want to buy a dog. I asked you because you look like a dog person. end of post"
truly it's hard to justify living,2021-06-16 17:31:00,"Truly.I don't get why I'm doing anything. Literally. Why am I working, Why am I dancing, why amd I trying to do a split. Why am I trying to learn russian. Why am I trying to get girls. Why. I just don't really care anymore. I just do enough to stay physically alive and I enjoy food. I truly want to jump off of a damn bridge and die most of the day. Every dream and every time I lay my head down to rest, I imagine shooting myself in the head and that ending everything. no more worries, no more success, just nothing. Sounds peaceful. sounds nice. these books i read - i mean they work for a time. but eventually my existential angst and nihilism come back in. Do i have complete and total apathy about life when I have girls and friends and success? no. do i have any of those things now? for the most part no. So yeah obviously that's why i don't give a fuck. but truly the question is, how long can i do this probably a long time. but fuck i hate it. wasted 3 whole hours this morning laying in bed. how long will i live like this. and it's funny how i know unhappiness is a choice. still unhappy though. still want to die. still don't know why i fucking still do this shit."
The cycle of action,2016-11-20 06:47:00,"There are days where I am unstoppable. I am god. I walk through these females and dudes like they’re sheep and I’m the GOAT. Hehe. Those days happen probably twice a month. I could last a whole weekend. A whole week. Or just one day. The other days I am inside Chi. I get stuck in my head and am unable to express anything fun to the females that I want to sleep with. This sucks. And it definitely doesn’t have to be this way. I have methods that I have taught other men that work. Go out and start giving high fives and pretty soon you will be a social god. Give high fives, give guys compliments give girls compliments and keep it moving. God mode is a guarantee. But it feels like my monkey brain figured out my prefrontal tricks to get out of the social anxiety that I find myself in on a regular basis. Which is weird because I am literally the opposite of this whenever I am on. I always say, I need to figure out a way to do X. the bullshit is I already know how to get laid, talk to girls, run a bar, be the center of attention, add value, etc. I’ve learned the ins and outs to the point where I can actually teach the shit. When I am alone again though, all my anxieties come rushing back. Sometimes I can conquer them. Most of the time I cannot. Which is retarded. I know there is not risk and that ostensible high risk is actually low risk. Literally to get out of my pain, I drank myself into a blackout in Charlotte and woke up feeling sick as hell in a toilet stall in a hotel 3 miles from the city. All because I wanted to talk to girls so bad. All because I wanted to cheat my monkey brain by dulling his inhibitions and senses to a point where he can function in social environments. This is why I gave up drinking for some time and why that must happen again. It has to be a last-ditch thing to reach for the drug. Jesus and it’s women too. Goddamn I dislike my biological body making all these life decisions for me. I want more control. I spend too much time pursuing this one pleasure. Sex. I want to see the girls naked. That is really it. I just want to see a new vagina. I just want to see the girl naked. I almost don’t want to have sex with the vagina. I think I definitely want a more meaningful relationship with women somewhere. I really need that to be a real person. I am really getting out of control with this shit. And look at these girls that just walked by. Goddamn it makes me wanna get out of the car and run after them. And make their night great thus making my night great again. When am I going to stop writing? Whenever I feel the gumption to get up and take action. Whenever I want tostop being a pussy. I see all these people and I know how to do this. I just need to do it. I just need to do it. Do it do it do it do it do it. Action action action action action. But also the thing is I don’t want to talk to them. My mind is blank. My conversation: Hi. My name is Chi do you want to sit im my car while I caress your hair and look at your bare vagina. Fucking unreasonable. Now I’m bored. I could make guy friends first and merge that set with nearby females. That’s usually my go to move. But really I just want to sit here. Maybe nap. Idk bruh"
the second interview for china - i'm scared,2019-07-10 15:08:00,"I'm fucking scared. I honestly don't think I'm ready for this. I don't know how to teach English. I don't know a damn thing and now I'm going to have to suffer for a week trying to get this certification done and I don't think it's possible for me to do this. I'm scared. This is the best opportunity I've had so far and I'm failing it because I've lied on my resume. This is stupid. How could I forget to change this 120h thing in my resume? How could I? I'm embarrassed and now I will have to work double time to cover my ass or send a shameful email explaining the mixup. Would I be more comfortable if I actually had the 240h thing done? Yes. Is it possible for me to get it done in 3 days? Probably not. Would I still feel wildly unprepared and scared of the expenses that I am not able to afford? Yes. Fuck me. I don't know what to do. I could wait around and email people in this country for 1-3 more months suffering rejection after rejection looking to get back into a field I hate just to make and save money toward my goals. I could take a leap off the goddamn cliff and do one of these teaching English jobs where I go to some foreign place and teach a subject that I've never taught before. Thos are really my only two options. I don't like either of them at this moment but instead of pout about it or write more words, I'm going to suffer on this 240h TEFL. Bye."
lol jacked off on a girl,2018-10-12 17:35:00,"Funny that I truly have been attracting a lot of leftist girls. met a fake marxist girl yesterday and had a hilarious conversation. I talked about marxism for a little bit and she agreed that it was a good idea. Then I seemingly switched topics to selling dirty panties and I asked if she would give them away at cost or whether she would try to make a profit. She answered with the latter and I challenged that based on the maxist principles. I thought it was funny. Anyway, I liked it. It was very good. though lord damn I got hit over the head with the last minute resistance. that's the first time in a long time where I've gotten that. That being said she really likes to fuck with my shit. she would be groaning and talking about how big my cock was (in those terms). bullshit, i thought. so while I was fingering her the last time, I took my dick out and worked one out. and let me tell you... I came more than ever. Jesus. There was cum everywhere. holy shit. She was soaked. It was like a porn. In any case, she was a nice girl. We met at the william ference catering wedding that we did at a natural reserve a week ago. She worked at the nature reserve and I approached her to ask about animal facts n shit. She was so surprisingly down for some bs when I took her out for that drink that we got yesterday. lord she was on from the second that I walked in. I like it. i like being who I am. at this point, i'm interested in having some role models to base my future actions and decisions on. people that live the life that I am trying to emulate."
evil thoughts at 5 am on easter sunday,2017-04-16 09:44:00,"People will one day clash and old fashioned brawls will take place. For a long time women have been able to get violent and instigate situations. We've always accepted it because that is their nature. That is what they are. Millenial women are entitled brats who are the first generation to have gone through the guillotine of feminist indoctrination in combination with the chivalry and values expected of me 50 years ago. But. Men are starting to wake up. We now have fuckboys everywhere. Niggas just sell dreams to have sex. I know this has been a thing for awhile but I am interested in knowing if it has become more prevalent. Nothing gives me more pleasure than to visualize these whores getting what is coming to them. Treat them like the rags, the holes, the trash that they market themselves as. If you dress like a whore, I will treat you like one. I reserve the right to subjectively determine what clothing is whorish and I reserve the right to game, fuck and never see you again on purpose. I want to hurt feelings. I want to see tears. This is the only way we can fight tyranny. In this small way, we can disrupt to paradigm shift sweeping society. I have no illusions of grandeur that I can actually affect anything or anyone or any group on any large enough scale to change what I view as the inevitable demise of our beautiful constitutional democracy. My only argument is: if all this shit is going down in flames, watch it burn with your dick in a pussy with a nice encasing (body/face/etc). Watch it burn while you fuck. Watch the world burn while you rail her out, her screams filling the night sky. Screams of love and pleasure cancelling out every single thought or feeling other than the present moment in her mind. Then kick that whore the fuck out. Rudely. Obviously. She needs to know that she was used."
the life of the party,2016-05-01 21:48:00,"That is me. When I step into a room, I run the place. I can dance and grab ass and make sexy looks all night. It's easy. It's easy to get a girl in love with how I move and how I dance. But where do I go from there? for some reason I'm stagnating mid set and I don't know where to go. If I was talking to someone else in a similar situation I would tell them to lead the girl to the bar. Try to lead her outside. Don't ask her, just pull. If she resists or her friends grab her, deflect and say 'oh we're just getting one drink, chill' or 'we are just standing over there so we can actually get to know each other a little'. My response to myself would be that everytime I try something like this, I get blown out. The friends, the girl, or both the friends and the girl, I always get blown out. I can't figure out what I am doing wrong. My issue now is that with night game I am thinking too much. My body is always in the moment but my mind is churning churning churning thinking about what to do next. My potential is crazy. Yesterday, I got stopped in the street by two married women and their husbands. The two men just stood there while their wives fawned over me and told me how attractive I was. One of these girls even asked and kissed me on the cheek before she left me. This is some wild shit. How can this be? This doesn't make sense to me. I mean I know I look good but it breaks my brain to find out that some girls really have me up on this model pedestal. Contrast that with girls who dance with me for awhile and then have had enough or girls that take one look and say 'nah'. The spectrum is disgusting. I know that women like guys for different reasons than guys like girls and that that's the reason why looks don't' matter, but for some reason, it is in my head that I deserve more because I look good. I look better than the other guys that you will meet tonight and therefore you should stay with me. Just like lifting, I think that I am going to go back to square one. I am going back to mainly daygame and I will use that to generate the dates that I want to go on. Slowly and steadily I need to build upon how I am supposed to be interacting with these people. I am currently in a rut where I say similar things and treat most girls with the same brush. There is no finesse or calibration in my game, at least not consciously. That is what i need to work on and night nonsense is not making me better. It is making me regress. I know how to dance. I know how to be lit. I know how to add value on the dance floor and drag any girl into dancing with me. My sticking point is now back to my words. I need to reestablish my confidence with my words. CHI DAYGAME BEGINS"
Kelsey,2015-03-08 23:39:00,"hahahahah. this is one of the funniest ones. I know better. That the funny part. I know better than to fall for women in this day and age. Who the fuck am I kidding. I didn't know what I was getting into with this girl. I was a mistake. She just seemed so loving, wonderful, quirky, weird, and innocent. For a second, I had hope that I had finally found a woman with values, someone who I could open up to and eventually do the kids thing with. I mean that is super super down the road... I guess that's part of my problem. I start liking a girl and then life pulls us apart. As the time between my last time seeing her grows, my feelings grow as well. I start fantasizing about our lives together and how she would react to certain situations in our lives together. It's such a weird habit. It's full of wishful thinking. Girls just don't want the bullshit in the Disney movies. Fuck Disney. For real. Fuck Disney. I never through I would ever write those words. I've received a lot of enjoyment from those movies throughout my life. But now my mind is filled with hope of finding a true love, some one to be the Gabriella Montaz to my Troy Bolton (lol). Alas, The world is a fickle beast and life is much more complicated than a musical. Anyway. Back to Kelsey. I'm writing this one day after she's decided to read two of my messages without any response. It hurt. A lot. Girls just don't get it. They really don't. ""Why can't this guy just not do this or do this or do this? Why doesn't he know the correct way to act and talk to me? Why isn't he super smooth, assertive, and sexy while being a dick, fuckboy, or an asshole?"" Like for real fuck all this shit. I was so Ready to drop my shit and give her the earth. I would be the best dude she's ever met. I would be such a good boyfriend If a girl would just give me the time of day!. This shit sucks. Anyway. She had wonderful big pretty brown eyes. She was super responsive to my low key PDA of holding her hands and person. It was super comforting. In those moments, I felt like I had everything figured out. I was happy. I was content. I worked for so long, taking tests and talking to random girls, learning new skills, and exiting my comfort zone for the chance to meet a girl like this. My life was coming together just as my grades were falling apart (as a result of my chasing of vagina instead of studying). I seriously liked her so much. She was unpredictable. She was actually funny and had a sense of humor to accompany. I really wanted to take her out and fucking close the deal. Not necessarily with sex, but with a serious series of candid talks about our futures, principles, values, loves, hates, wants, needs, etc. But she apparently did not want the same thing. Some insight was provided from my friend Kwaku, who asked her friend if I should just go for it and ask her to be my girlfriend. The response that came back was, no don't ask her out. She's a free soul and might say no because she's afraid of commitment. damn. damn Flag on the play with that one. Clearly, I had misjudged this pretty pretty wonderful girl. sucks. I went ahead and tried any way. I called and called and texted and texted. Idk if it was that her phone was just dead or on airplane mode but none of my calls would go through. My texts were read without response.. When I saw her in person, I looked deep into her eyes for only a few seconds., reason being that I didn't want to be awkward about her not responding to my messages. Fuck that shit. I should have asked her then and there what the fuck she wanted out of life, boys, and relationships that I was unable to provide. Obviously, that would have made everyone extremely uncomfortable but honestly, fuck that shit. I want to know. When I looked into her eyes, I saw the words, ""I'm sorry but no, this is not a thing."" It's exactly the lingering glance while leaving that you would give to an awesome dog you spent the day with at the pound, who, for some reason or another, you would not be able to adopt. Yeah. That was the exact look. While I did trouble over why she would not be able to adopt me into her life, I quickly returned to earth after the read receipts. Just like all the other girls, her past is fucked up. She has no capacity for the type of relationship that you want, at least not at this stage in her life. Just move on. It's not you it's her. Don't get me wrong, I'm always looking for self improvement. But when it comes to girls, I'm a firm believer in, ""If she likes you, you leaving a voicemail or asking her out through text or etc. will not be the final blow to the relationship."" I don't believe that I did anything that would deserve a boot from a principled woman. Since that is that case, there must be something in her past or present that is preventing her from committing to an honest relationship. Whatever though. there are other girls. That act the exact same. SO AS A RESULT TODAY HAS BEEN DECIDED ON FOR THE START DATE OF MY LEAVE OF ABSENCE FROM THE GAME OF LOVE AND SEX. This means that for an indefinite period of time I will not go out of my way to meet and attract women. I'm for real done. I can't handle these games. I've played for long enough and I have seen absolutely no light at the end of the tunnel when it comes to females. Chibuzor Ejimofor out. Updated: I just thought of the song by Childish Gambino [Donald Glover] - Kids. The song basically says if you and I were still kids, our relationship would work out. My further interpretation is that there is less of a chance that the girl has been fucked up by the world yet. There's a less of a chance that feminist propaganda and Disney shit has reached her precious young mind. But all hope is lost when the shit hits the mind while it is still learning and growing. Alas, I didn't know when I was young. Now, all these old girls are fucked up. Is there a NAWALT (not all women are like that) out there for me? Probably not. I have some small small hope. but still - for now I'm giving up. Chibuzor Ejimofor out."
moving the needle,2022-05-17 19:21:00,"man i tell you the self attach in my mind is crazy. it’s all kill yourself shit and every few minutes I imagine a gun to my head and ending it all. It’s part of this self attack narrative of not having a routing, having small arms and not feeling strong as well as not really having a concrete move forward plan to the extent that it feels like I’m doing things for Christ instead of at least being towards some BS goal that I made up. annoying. and I have layers of excuses for as to why i can’t or won’t approach the local women. I will go out this week but this is nasty and not the most fun life to live. Really ridiculous how i have so much time yet I can’t find a few minutes to do work that wil actuallly give me money. I hate that the most… that I have a guaranteed 600 - 1200 a week and I refuse to take it. What the actual fuck is wrong with me. When I feel that or remember that, that’s when the feelings get the strongest. fuck you you actual piece of shit, do the Fucking work that you need to do to stay alive. There is literally nothing else. If you can do this for 10 hours a week you can have a wonderful life. If you don’t, your opportunities go to near zed. take this life more seriously my guy. no one cares about what you want. we care about what you are willing to work for to get."
